Test ID,Drop Point,Result
277,-4.014,0.000794436
278,-3.996,NULL
279,-3.978,NULL
280,-3.96,NULL
281,-3.942,NULL
282,-3.924,NULL
283,-3.906,NULL
284,-3.888,NULL
285,-3.87,NULL
286,-3.852,NULL
287,-3.834,-6.00007
288,-3.816,NULL
289,-3.798,-9
290,-3.78,NULL
291,-3.762,NULL
292,-3.744,NULL
293,-3.726,NULL
294,-3.708,-6.00665
295,-3.69,NULL
296,-3.672,-5.99251
297,-3.654,NULL
298,-3.636,NULL
299,-3.618,NULL
300,-3.6,NULL
301,-3.582,NULL
302,-3.564,NULL
303,-3.546,NULL
304,-3.528,NULL
305,-3.51,NULL
306,-3.492,NULL
307,-3.474,NULL
308,-3.456,-6.00799
309,-3.438,-3.00062
310,-3.42,NULL
311,-3.402,-2.99969
312,-3.384,NULL
313,-3.366,3.00197
314,-3.348,-3.00635
315,-3.33,NULL
316,-3.312,-2.99959
317,-3.294,NULL
318,-3.276,NULL
319,-3.258,-3.00498
320,-3.24,NULL
321,-3.222,NULL
322,-3.204,NULL
323,-3.186,NULL
324,-3.168,NULL
325,-3.15,NULL
326,-3.132,-2.99414
327,-3.114,0.00124089
328,-3.096,NULL
329,-3.078,NULL
330,-3.06,-5.99952
331,-3.042,0.00558919
332,-3.024,NULL
333,-3.006,-6.00059
334,-2.988,NULL
335,-2.97,0.00193476
336,-2.952,NULL
337,-2.934,NULL
338,-2.916,NULL
339,-2.898,-3.00046
340,-2.88,NULL
341,-2.862,-5.9921
342,-2.844,NULL
343,-2.826,NULL
344,-2.808,-6.0066
345,-2.79,-2.99949
346,-2.772,NULL
347,-2.754,NULL
348,-2.736,NULL
349,-2.718,NULL
350,-2.7,-0.000107709
351,-2.682,NULL
352,-2.664,NULL
353,-2.646,NULL
354,-2.628,-6.00238
355,-2.61,-5.99966
356,-2.592,NULL
357,-2.574,NULL
358,-2.556,0.00143521
359,-2.538,-6.0047
360,-2.52,NULL
361,-2.502,-3.00077
362,-2.484,NULL
363,-2.466,-0.000100178
364,-2.448,-5.99177
365,-2.43,NULL
366,-2.412,-2.99921
367,-2.394,-2.99994
368,-2.376,NULL
369,-2.358,NULL
370,-2.34,3.00232
371,-2.322,-3.00185
372,-2.304,NULL
373,-2.286,NULL
374,-2.268,NULL
375,-2.25,NULL
376,-2.232,NULL
377,-2.214,NULL
378,-2.196,3.00706
379,-2.178,NULL
380,-2.16,-0.000852815
381,-2.142,NULL
382,-2.124,-3.00246
383,-2.106,-3.00052
384,-2.088,NULL
385,-2.07,NULL
386,-2.052,NULL
387,-2.034,NULL
388,-2.016,-3.00158
389,-1.998,NULL
390,-1.98,NULL
391,-1.962,NULL
392,-1.944,NULL
393,-1.926,-2.99234
394,-1.908,NULL
395,-1.89,NULL
396,-1.872,-3.0012
397,-1.854,NULL
398,-1.836,NULL
399,-1.818,0.0068337
400,-1.8,-3.0023
401,-1.782,NULL
402,-1.764,NULL
403,-1.746,NULL
404,-1.728,NULL
405,-1.71,NULL
406,-1.692,NULL
407,-1.674,NULL
408,-1.656,NULL
409,-1.638,NULL
410,-1.62,0.000239106
411,-1.602,2.99856
412,-1.584,0.00626015
413,-1.566,3.00672
414,-1.548,0.00444793
415,-1.53,NULL
416,-1.512,-9
417,-1.494,0.00265324
418,-1.476,3.00011
419,-1.458,NULL
420,-1.44,NULL
421,-1.422,NULL
422,-1.404,NULL
423,-1.386,NULL
424,-1.368,0.000220411
425,-1.35,NULL
426,-1.332,NULL
427,-1.314,-5.99995
428,-1.296,NULL
429,-1.278,NULL
430,-1.26,-2.99778
431,-1.242,NULL
432,-1.224,NULL
433,-1.206,NULL
434,-1.188,NULL
435,-1.17,NULL
436,-1.152,NULL
437,-1.134,0.000806012
438,-1.116,-3.00508
439,-1.098,0.00134895
440,-1.08,NULL
441,-1.062,-5.23954e-006
442,-1.044,0.00224411
443,-1.026,NULL
444,-1.008,-0.00859518
445,-0.99,-2.99972
446,-0.972,-3.00083
447,-0.954,-3.0003
448,-0.936,-5.99989
449,-0.918,NULL
450,-0.900001,NULL
451,-0.882,NULL
452,-0.864,NULL
453,-0.846,NULL
454,-0.828,3.84183e-005
455,-0.809999,NULL
456,-0.792,NULL
457,-0.774,NULL
458,-0.756,NULL
459,-0.738,NULL
460,-0.72,NULL
461,-0.702,NULL
462,-0.684,NULL
463,-0.666,-3.00029
464,-0.648001,NULL
465,-0.63,NULL
466,-0.612,NULL
467,-0.594,0.00626842
468,-0.576,-0.000169132
469,-0.558,-0.00532098
470,-0.54,0.000247412
471,-0.522,NULL
472,-0.504,NULL
473,-0.486,-0.000347187
474,-0.467999,-3.00159
475,-0.45,NULL
476,-0.432,-2.99757
477,-0.414,NULL
478,-0.396,0.000947881
479,-0.378,NULL
480,-0.360001,NULL
481,-0.342,-3.00526
482,-0.324,0.00283921
483,-0.306,NULL
484,-0.288,3.00073
485,-0.27,-3.00448
486,-0.252,NULL
487,-0.234,NULL
488,-0.216,NULL
489,-0.198,-0.0001638
490,-0.18,-3.00335
491,-0.162,NULL
492,-0.144,NULL
493,-0.126,NULL
494,-0.108,NULL
495,-0.0900002,NULL
496,-0.0720005,3.00673
497,-0.0539999,NULL
498,-0.0360003,NULL
499,-0.0179996,NULL
500,0,NULL
501,0.0179996,NULL
502,0.0359993,NULL
503,0.0540009,5.99891
504,0.0720005,NULL
505,0.0900002,0.00131865
506,0.108,-2.99928
