Test ID,Drop Point,Result
0,-9,-4.13218
1,-8.982,-4.0482
2,-8.964,-4.08522
3,-8.946,-4.12527
4,-8.928,-4.15152
5,-8.91,-4.09485
6,-8.892,-4.12088
7,-8.874,-4.12247
8,-8.856,-4.09709
9,-8.838,-4.09699
10,-8.82,-4.09495
11,-8.802,-4.06507
12,-8.784,-4.07768
13,-8.766,-4.0852
14,-8.748,-4.12544
15,-8.73,-4.12012
16,-8.712,-4.10678
17,-8.694,-4.28668
18,-8.676,-4.28555
19,-8.658,-4.74664
20,-8.64,-4.13137
21,-8.622,0.00762039
22,-8.604,-3.87486
23,-8.586,-5.00195
24,-8.568,-3.2622
25,-8.55,-3.26379
26,-8.532,-2.93855
27,-8.514,-3.19124
28,-8.496,-3.02322
29,-8.478,-3.02416
30,-8.46,-3.00026
31,-8.442,-3.12573
32,-8.424,-2.91763
33,-8.406,-3.11665
34,-8.388,-3.27046
35,-8.37,-2.92796
36,-8.352,-2.88703
37,-8.334,-3.22653
38,-8.316,-3.26717
39,-8.298,-3.06005
40,-8.28,-3.20445
41,-8.262,-2.90647
42,-8.244,-2.92103
43,-8.226,-2.95911
44,-8.208,-2.9271
45,-8.19,-2.96419
46,-8.172,-3.26274
47,-8.154,-3.26544
48,-8.136,-3.2649
49,-8.118,-3.10583
50,-8.1,-2.92847
51,-8.082,-2.91911
52,-8.064,-2.93569
53,-8.046,-3.27067
54,-8.028,-2.97897
55,-8.01,-3.27045
56,-7.992,-3.23846
57,-7.974,-2.36192
58,-7.956,-2.76054
59,-7.938,-2.35119
60,-7.92,-2.37384
61,-7.902,-2.6587
62,-7.884,-3.11121
63,-7.866,-3.23901
64,-7.848,-3.23404
65,-7.83,-3.15758
66,-7.812,-2.90237
67,-7.794,-3.27533
68,-7.776,-2.94292
69,-7.758,-3.25049
70,-7.74,-3.26055
71,-7.722,-3.02702
72,-7.704,-2.90324
73,-7.686,-3.01258
74,-7.668,-2.9333
75,-7.65,-2.92325
76,-7.632,-3.10052
77,-7.614,-2.95092
78,-7.596,-3.26052
79,-7.578,-3.26998
80,-7.56,-3.28413
81,-7.542,-3.26222
82,-7.524,-3.25957
83,-7.506,-7.73724
84,-7.488,0.0105016
85,-7.47,0.00997675
86,-7.452,0.0110449
87,-7.434,0.010819
88,-7.416,0.00846623
89,-7.398,0.0105325
90,-7.38,0.0025454
91,-7.362,0.00300153
92,-7.344,-4.77092
93,-7.326,-4.14717
94,-7.308,-0.00127486
95,-7.29,0.00578872
96,-7.272,0.00765832
97,-7.254,-4.09376
98,-7.236,-4.13536
99,-7.218,-3.90528
100,-7.2,0.00613672
101,-7.182,-3.95072
102,-7.164,-0.00167626
103,-7.146,0.00556091
104,-7.128,0.000419931
105,-7.11,-0.00851773
106,-7.092,-4.05202
107,-7.074,0.00863187
108,-7.056,0.0110252
109,-7.038,0.00781606
110,-7.02,0.0106441
111,-7.002,0.0131326
112,-6.984,-4.01185
113,-6.966,-3.27473
114,-6.948,-3.27167
115,-6.93,-3.04513
116,-6.912,-3.25161
117,-6.894,-2.92387
118,-6.876,-3.11127
119,-6.858,-3.26901
120,-6.84,-3.25675
121,-6.822,-2.91634
122,-6.804,-3.18075
123,-6.786,-3.26322
124,-6.768,-2.61461
125,-6.75,-2.89145
126,-6.732,-3.0244
127,-6.714,-3.26014
128,-6.696,-3.2675
129,-6.678,-3.11866
130,-6.66,-3.14102
131,-6.642,-3.28307
132,-6.624,-3.26476
133,-6.606,-3.22236
134,-6.588,-2.93604
135,-6.57,-2.97485
136,-6.552,-3.25489
137,-6.534,-3.06181
138,-6.516,-2.89621
139,-6.498,-3.2684
140,-6.48,-3.27377
141,-6.462,-3.28114
142,-6.444,-3.27856
143,-6.426,-3.14092
144,-6.408,-3.271
145,-6.39,-3.24511
146,-6.372,-3.11692
147,-6.354,-3.27379
148,-6.336,-3.26897
149,-6.318,-3.19664
150,-6.3,-2.92384
151,-6.282,-3.23878
152,-6.264,-3.18788
153,-6.246,-2.15889
154,-6.228,-3.11711
155,-6.21,-3.28154
156,-6.192,-3.01021
157,-6.174,-3.09303
158,-6.156,-3.27993
159,-6.138,-3.24786
160,-6.12,-3.1579
161,-6.102,-3.28416
162,-6.084,-3.21592
163,-6.066,-2.89198
164,-6.048,-3.10538
165,-6.03,-3.10355
166,-6.012,-3.26499
167,-5.994,-2.94931
168,-5.976,-2.90963
169,-5.958,-2.97653
170,-5.94,-2.85022
171,-5.922,-3.27316
172,-5.904,-3.23777
173,-5.886,-2.96874
174,-5.868,-3.27793
175,-5.85,-3.23194
176,-5.832,-3.25035
177,-5.814,-3.22822
178,-5.796,-3.26862
179,-5.778,-2.91436
180,-5.76,-3.22094
181,-5.742,-3.24018
182,-5.724,-3.25401
183,-5.706,-3.22681
184,-5.688,-2.92107
185,-5.67,-3.27662
186,-5.652,-2.9448
187,-5.634,-3.23437
188,-5.616,-3.23376
189,-5.598,-3.19696
190,-5.58,-2.89535
191,-5.562,-2.91451
192,-5.544,-3.25375
193,-5.526,-3.00759
194,-5.508,-3.01949
195,-5.49,-8.62789
196,-5.472,-8.04802
197,-5.454,-8.09322
198,-5.436,-8.06064
199,-5.418,-8.49093
200,-5.4,-8.59319
201,-5.382,-8.76481
202,-5.364,-8.08498
203,-5.346,-8.09229
204,-5.328,-8.22882
205,-5.31,-8.23485
206,-5.292,-8.32303
207,-5.274,-8.60278
208,-5.256,-8.83941
209,-5.238,-8.07713
210,-5.22,-8.38148
211,-5.202,-8.06742
212,-5.184,-8.47287
213,-5.166,-8.07137
214,-5.148,-7.90767
215,-5.13,-8.0805
216,-5.112,-8.86115
217,-5.094,-8.07465
218,-5.076,-8.76792
219,-5.058,-8.07229
220,-5.04,-8.13959
221,-5.022,-8.74588
222,-5.004,-8.55955
223,-4.986,-8.65632
224,-4.968,-8.08996
225,-4.95,-8.05717
226,-4.932,-8.09332
227,-4.914,-7.90836
228,-4.896,-8.0589
229,-4.878,-8.08149
230,-4.86,-8.01824
231,-4.842,-7.9937
232,-4.824,-7.95437
233,-4.806,-8.54026
234,-4.788,-8.85841
235,-4.77,-8.47603
236,-4.752,-8.09375
237,-4.734,-8.06539
238,-4.716,-8.56984
239,-4.698,-8.21166
240,-4.68,-8.18187
241,-4.662,-8.34978
242,-4.644,-8.76021
243,-4.626,-8.11215
