Test ID,Drop Point,Result
0,-9,-0.478065
1,-8.982,-0.541584
2,-8.964,-0.585611
3,-8.946,-0.467268
4,-8.928,-0.569669
5,-8.91,-0.540261
6,-8.892,-0.449023
7,-8.874,-0.567246
8,-8.856,-0.878906
9,-8.838,-0.844267
10,-8.82,-0.815598
11,-8.802,-1.01989
12,-8.784,-1.99069
13,-8.766,-2.00466
14,-8.748,-2.01093
15,-8.73,-2.05873
16,-8.712,-7.27653
17,-8.694,-2.76537
18,-8.676,-2.53922
19,-8.658,-2.79017
20,-8.64,-2.50686
21,-8.622,NULL
22,-8.604,2.69379
23,-8.586,2.46207
24,-8.568,-2.84921
25,-8.55,-1.15766
26,-8.532,-6.56167
27,-8.514,-6.61403
28,-8.496,-6.49559
29,-8.478,-6.62674
30,-8.46,-6.68201
31,-8.442,-6.63045
32,-8.424,-6.67926
33,-8.406,-6.68491
34,-8.388,-6.49228
35,-8.37,-6.58812
36,-8.352,-6.625
37,-8.334,-6.58114
38,-8.316,-6.57875
39,-8.298,-6.64502
40,-8.28,-6.55263
41,-8.262,-6.55411
42,-8.244,-6.59792
43,-8.226,-6.63207
44,-8.208,-6.6068
45,-8.19,-6.498
46,-8.172,-6.63065
47,-8.154,-6.50362
48,-8.136,-6.49212
49,-8.118,-6.45161
50,-8.1,-6.49532
51,-8.082,-6.62021
52,-8.064,-6.44327
53,-8.046,-6.52919
54,-8.028,-6.64813
55,-8.01,-6.54493
56,-7.992,-6.62068
57,-7.974,-6.49293
58,-7.956,-6.6449
59,-7.938,-6.52003
60,-7.92,-6.50712
61,-7.902,-6.63611
62,-7.884,-6.52185
63,-7.866,-6.50683
64,-7.848,-6.50709
65,-7.83,-6.57589
66,-7.812,-6.595
67,-7.794,-6.52944
68,-7.776,-6.53052
69,-7.758,-6.49589
70,-7.74,-6.46607
71,-7.722,-6.4691
72,-7.704,-6.50911
73,-7.686,-6.55688
74,-7.668,-6.55393
75,-7.65,-6.55294
76,-7.632,-6.59227
77,-7.614,-6.56176
78,-7.596,-6.59695
79,-7.578,-6.63935
80,-7.56,-6.56553
81,-7.542,-6.61053
82,-7.524,-6.56422
83,-7.506,-6.48841
84,-7.488,-1.12287
85,-7.47,-1.11154
86,-7.452,-1.12409
87,-7.434,-1.11421
88,-7.416,-1.09103
89,-7.398,-1.07553
90,-7.38,-1.03505
91,-7.362,-1.12085
92,-7.344,-0.971642
93,-7.326,-1.26245
94,-7.308,-1.77957
95,-7.29,-1.89084
96,-7.272,-2.21887
97,-7.254,-2.3427
98,-7.236,-2.80884
99,-7.218,-3.07126
100,-7.2,-2.23111
101,-7.182,-0.96622
102,-7.164,-1.0276
103,-7.146,-1.16395
104,-7.128,-1.34557
105,-7.11,-1.86795
106,-7.092,-2.84898
107,-7.074,-2.95984
108,-7.056,-2.83042
109,-7.038,-7.3077
110,-7.02,-7.77893
111,-7.002,-7.63044
112,-6.984,-8.19543
113,-6.966,-8.13897
114,-6.948,-7.99583
115,-6.93,-7.73695
116,-6.912,-7.77324
117,-6.894,-7.71217
118,-6.876,-7.36577
119,-6.858,-7.25741
120,-6.84,-2.77669
121,-6.822,-2.80279
122,-6.804,-2.5112
123,-6.786,-2.79418
124,-6.768,-2.77325
125,-6.75,-2.77908
126,-6.732,-7.24146
127,-6.714,-7.27504
128,-6.696,-7.2506
129,-6.678,-7.25458
130,-6.66,-7.24638
131,-6.642,-7.24601
132,-6.624,-7.2401
133,-6.606,-7.23748
134,-6.588,-7.24774
135,-6.57,NULL
136,-6.552,-7.24258
137,-6.534,-2.7755
138,-6.516,-7.23765
139,-6.498,-2.52507
140,-6.48,-1.0686
141,-6.462,-1.17784
142,-6.444,-6.55776
143,-6.426,-6.59209
144,-6.408,-6.51848
145,-6.39,-6.62087
146,-6.372,-6.46842
147,-6.354,-6.59806
148,-6.336,-6.52883
149,-6.318,-6.58315
150,-6.3,-6.55027
151,-6.282,-6.46552
152,-6.264,-6.51618
153,-6.246,-6.37132
154,-6.228,-6.50182
155,-6.21,-6.31893
156,-6.192,-6.31212
157,-6.174,-6.49973
158,-6.156,-6.50869
159,-6.138,-6.4628
160,-6.12,-6.47236
161,-6.102,-6.32575
162,-6.084,-6.50394
163,-6.066,-6.34278
164,-6.048,-6.49828
165,-6.03,-6.47575
166,-6.012,-6.327
167,-5.994,-6.4582
168,-5.976,-6.44018
169,-5.958,-6.31717
170,-5.94,-6.53772
171,-5.922,-6.44564
172,-5.904,-6.26733
173,-5.886,-6.4943
174,-5.868,-6.43594
175,-5.85,-6.49712
176,-5.832,-6.54325
177,-5.814,-6.44644
178,-5.796,-6.52558
179,-5.778,-6.48958
180,-5.76,-6.48002
181,-5.742,-6.46919
182,-5.724,-6.48397
183,-5.706,-6.54279
184,-5.688,-6.49472
185,-5.67,-6.62166
186,-5.652,-6.64483
187,-5.634,-6.59452
188,-5.616,-6.49992
189,-5.598,-6.52267
190,-5.58,-6.51394
191,-5.562,-6.47824
